,Codi_provincia,Provincia,Codi_municipi,Municipi,Estacio,Codi_Contaminant,Any,Mes,Dia,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,nom_cabina,codi_dtes,zqa,codi_eoi,Longitud,Latitud,ubicacio,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Clas_1,Clas_2
35,8,Barcelona,19,Barcelona,42,12,2021,1,5,26.0,V,16.0,V,10.0,V,13.0,V,10.0,V,14.0,V,24.0,V,39.0,V,40.0,V,55.0,V,45.0,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
36,8,Barcelona,19,Barcelona,42,12,2021,1,6,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
37,8,Barcelona,19,Barcelona,42,12,2021,1,7,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,68.0,V,56.0,V,60.0,V,28.0,V,37.0,V,34.0,V,33.0,V,37.0,V,90.0,V,67.0,V,43.0,V,34.0,V,24.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
38,8,Barcelona,19,Barcelona,42,12,2021,1,8,19.0,V,20.0,V,20.0,V,18.0,V,17.0,V,25.0,V,29.0,V,45.0,V,58.0,V,61.0,V,62.0,V,57.0,V,38.0,V,41.0,V,43.0,V,47.0,V,52.0,V,67.0,V,75.0,V,81.0,V,69.0,V,65.0,V,41.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
39,8,Barcelona,19,Barcelona,42,12,2021,1,9,16.0,V,22.0,V,16.0,V,9.0,V,8.0,V,8.0,V,12.0,V,16.0,V,17.0,V,20.0,V,23.0,V,25.0,V,27.0,V,26.0,V,24.0,V,21.0,V,25.0,V,21.0,V,22.0,V,17.0,V,18.0,V,19.0,V,15.0,V,16.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
40,8,Barcelona,19,Barcelona,42,12,2021,1,10,13.0,V,11.0,V,9.0,V,8.0,V,7.0,V,7.0,V,8.0,V,11.0,V,12.0,V,15.0,V,17.0,V,20.0,V,28.0,V,36.0,V,36.0,V,40.0,V,37.0,V,42.0,V,40.0,V,37.0,V,28.0,V,23.0,V,18.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
41,8,Barcelona,19,Barcelona,42,12,2021,1,11,17.0,V,13.0,V,12.0,V,10.0,V,6.0,V,7.0,V,10.0,V,17.0,V,32.0,V,37.0,V,39.0,V,32.0,V,29.0,V,23.0,V,20.0,V,17.0,V,22.0,V,21.0,V,27.0,V,26.0,V,26.0,V,24.0,V,26.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
42,8,Barcelona,19,Barcelona,42,12,2021,1,12,15.0,V,9.0,V,8.0,V,7.0,V,8.0,V,10.0,V,14.0,V,19.0,V,28.0,V,28.0,V,29.0,V,23.0,V,21.0,V,20.0,V,20.0,V,18.0,V,19.0,V,23.0,V,29.0,V,28.0,V,26.0,V,22.0,V,22.0,V,15.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
43,8,Barcelona,19,Barcelona,42,12,2021,1,13,12.0,V,12.0,V,10.0,V,13.0,V,8.0,V,9.0,V,13.0,V,21.0,V,24.0,V,31.0,V,18.0,V,17.0,V,22.0,V,21.0,V,21.0,V,21.0,V,26.0,V,25.0,V,22.0,V,22.0,V,18.0,V,17.0,V,13.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
44,8,Barcelona,19,Barcelona,42,12,2021,1,14,9.0,V,7.0,V,11.0,V,8.0,V,8.0,V,9.0,V,14.0,V,22.0,V,37.0,V,29.0,V,29.0,V,28.0,V,30.0,V,27.0,V,25.0,V,23.0,V,23.0,V,27.0,V,35.0,V,31.0,V,43.0,V,23.0,V,17.0,V,24.0,V,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
45,8,Barcelona,19,Barcelona,42,12,2021,1,15,25.0,V,17.0,V,12.0,V,9.0,V,15.0,V,10.0,V,15.0,V,27.0,V,57.0,V,54.0,V,44.0,V,43.0,V,32.0,V,28.0,V,30.0,V,31.0,V,51.0,V,56.0,V,57.0,V,102.0,V,172.0,V,161.0,V,199.0,V,,N,Barcelona - Sants,ID,1,8019042,2.1331,41.3788,Jardins de Can Mantega (Joan Güell - Violant d’Hongria),3,Sants-Montjuic,18,Sants,Urbana,Fons
