Tram,Descripció,Coordenades
360,Rambla Prim (Pl. Llevant a Gran Via),"2.219348436373843,41.4116217485454,2.209650032223991,41.41880434332513,2.209076089437974,41.41961805741904"
361,Passeig de Garcia Faria (Bac de Roda a Rambla de Prim),"2.221333827398626,41.40965887742325,2.219874808938978,41.40809560495296,2.218586708374546,41.4070746286918,2.21155292096483,41.401803044077"
362,Passeig de Garcia Faria (Rambla de Prim a Bac de Roda),"2.211501194076937,41.401861408389,2.218252219779904,41.40695851084512,2.219859032147564,41.40821975565765,2.221141785485334,41.40968512038982"
371,Rosselló (Casanova a Balmes),"2.153055390612992,41.39002904395011,2.157369827866333,41.39329503830288"
372,Rosselló (Balmes a Av. Diagonal),"2.157405015827378,41.39333540021625,2.16230364722406,41.39707347013597"
386,Consell de Cent (Av. Diagonal a Av. Meridiana),"2.179938843306084,41.40181117423615,2.186779658078291,41.40675670727526"
387,Bailén (Av. Diagonal a Aragó),"2.168344666012885,41.39864181773603,2.170929481924975,41.39670289224702"
388,Bailén (Aragó a Gran Via),"2.170928777574916,41.39669541751335,2.17440867628111,41.39405542909202"
397,Pg. Fabra i Puig (Pg. Urrutia a Pg. Valldaura),"2.164265078920822,41.43627857607767,2.165346011437457,41.4379122764529,2.166339114075142,41.43919809961678"
398,Pg. Fabra i Puig (Pg. Valldaura a Pg. Urrutia),"2.166254048738028,41.43921335139778,2.165270614831518,41.43797240463781,2.164171272786082,41.43632185027087"
399,Pg. Calvell (Llacuna a Bilbao),"2.211466224712992,41.40185223721169,2.209182732554491,41.40015511189688,2.208235542706776,41.39928712907634"
401,Diagonal (Entença a Numància),"2.132752806288525,41.3894508269253,2.137302251260571,41.39059673671698"
402,Diagonal (Entença a Numància),"2.137071607997503,41.39080740136433,2.132525123591309,41.38966144509093"
403,Entença (Diagonal a Av Sarrià),"2.137079374968269,41.39079396682621,2.136402431737718,41.39154683545899"
404,Marina (Meridiana a Av. Icària),"2.18683200374767,41.394668117702,2.186977104840691,41.39465688587868,2.194315416958217,41.38904358836673"
405,Marina (Av. Icària a Pl. Voluntaris),"2.194372818261527,41.3890434904554,2.195876577817404,41.38789302606922"
406,Josep Carner (Av. Paral.lel a Pl. Portal de la Pau),"2.177436976817444,41.37556607114692,2.176690793710061,41.37461904321064,2.176520841715524,41.37448953079475,2.176363762284381,41.37442002118942,2.175970253337574,41.37434132272816,2.175774376275843,41.3742523401662,2.175620687063986,41.37410327249675"
407,Josep Carner (Pl. Portal de la Pau a Av. Paral.lel),"2.176742368067166,41.37365385902712,2.176884454091832,41.3737919266548,2.176908724285867,41.37396037980638,2.176827866801838,41.37413951737694,2.176774031098663,41.37426900439186,2.176759263844483,41.3744186432337,2.17759693759189,41.37546441252322"
408,Josep Carner (Miramar a Av. Paral.lel),"2.173959124372191,41.3710569773034,2.175625280250217,41.37322509508939,2.175819595441575,41.37330281951358,2.175989256080753,41.37331198726758,2.176392642030276,41.37336951286578,2.176599606253336,41.37352623929951,2.176768423837807,41.37368332678452"
409,Josep Carner (Av. Paral.lel a Miramar),"2.173843461393237,41.37107647910338,2.175547599975665,41.37323709130529,2.175638050045299,41.37347141124288,2.175583008902735,41.37362490999179,2.175499810502346,41.3737401571508,2.175539748828672,41.37397279974334,2.175618596283218,41.37408608842573"
410,Ronda Guinardó (Flors de Maig a Túnel de la Rovira),"2.176055658960348,41.41820035117134,2.175555243809511,41.4176868932062,2.170815138125066,41.41394640820702,2.167911408818863,41.41257341857374"
411,Gran Via (Hospitalet de Llobregat a Pl. Cerdà),"2.135182634247024,41.3643477594519,2.099521412266006,41.33777836991818"
412,Gran Via (Pl. Cerdà a Hospitalet de Llobregat),"2.099268340092828,41.33786440615782,2.134862199231902,41.36463782166342"
413,Muntaner (Diagonal a Aragó),"2.149561097251931,41.39404317515417,2.158565616288695,41.38721984181367"
414,Muntaner (Aragó a Ronda de Sant Antoni),"2.158425584297912,41.3873258251508,2.163770764880582,41.38334612089459"
415,Guipúscoa (Meridiana a Bac de Roda),"2.187148997451076,41.40873317935966,2.194783646628113,41.4144699287731"
416,Guipúscoa (Bac de Roda a Cantàbria),"2.194790475632795,41.41446886941618,2.20157541497398,41.41956113982909"
417,Guipúscoa (Cantàbria a Ronda del Litoral),"2.213023126576503,41.42927692074913,2.212371570829548,41.42857239032595,2.210532144595618,41.42633340180246,2.209056004078878,41.42520017431568,2.204776417691929,41.42199095347184,2.201656333985231,41.41967697899334"
418,Maria Claret (Passeig de Maragall a Lepant),"2.164312377160027,41.40356583507976,2.171057108146326,41.40864034226133"
419,Maria Claret (Passeig de Maragall a Lepant),"2.170947366837885,41.40868486871982,2.164228017896852,41.40367424013171"
420,Bac de Roda (Gran Via a Pere IV),"2.197169317974586,41.41100231483539,2.201436707888322,41.40774786182035"
421,Bac de Roda (Pere IV a Ronda del Litoral),"2.201501355172209,41.40768480126648,2.210329722209465,41.40100968175149"
422,Marina (Gran Via a Meridiana),"2.181175682933101,41.39909382737082,2.186616488255957,41.39492067067148,2.186611915801642,41.39483563458524,2.18669938320788,41.39471758155104,2.186801251949682,41.39467656280116"
423,Diagonal (Pl. Glòries a Bac de Roda),"2.188334081483223,41.40354426414545,2.204045845939295,41.40746272048366"
424,Diagonal (Bac de Roda a Pl. Glòries),"2.203745902993874,41.40766561390975,2.188375821052564,41.40377981192516"
425,Diagonal (Bac de Roda a Rambla de Prim),"2.204065880716792,41.40746273547578,2.218961692651575,41.41122012147303"
426,Diagonal (Rambla de Prim a Bac de Roda),"2.218888351257178,41.4113926210454,2.203765982947075,41.40768069533692"
427,Ronda Guinardó (Oblit a Passeig de Maragall),"2.176134075697631,41.41823051991081,2.17686605854027,41.42022649432371,2.17746934182234,41.4237822015265"
428,Av. Rio de Janeiro (Fabra i Puig a Passeig de Valldaura),"2.182548481471107,41.4302502850386,2.182562564442216,41.43042018871366,2.180717964250245,41.43223591899848,2.180346652585909,41.43261046595255,2.179783856761925,41.43260798725774,2.179378274369075,41.43258506763137,2.178807464111694,41.43271300065292,2.178220574095768,41.43290165598004,2.179474372233361,41.43400830773687,2.179768302764176,41.43481843145742,2.180573869685385,41.4371807087602,2.180868577679513,41.43806174395749,2.181663073023308,41.43917604537431"
429,Av. Rio de Janeiro (Passeig de Valldaura a Meridiana),"2.181632173225967,41.43929980395988,2.186318422994904,41.44317562370706"
430,Av. Rio de Janeiro (Meridiana a Passeig de Valldaura),"2.186310476049722,41.44298619235413,2.181836982941354,41.43929676167515"
431,Gran Via (Pl. Glòries a Marina),"2.186311513964077,41.4030144156127,2.180134740853668,41.39840878537596"
432,Ferran Junoy (Sant Adrià a Potosí),"2.194607486889497,41.43538423526972,2.194417005222278,41.43585077046931,2.194512093834102,41.4363426417842,2.196581911531159,41.442425517126"
433,Ferran Junoy (Potosí a Passeig de Santa Coloma),"2.19683738759938,41.44271816400179,2.198201355308178,41.44681421865003,2.197812155736327,41.44763582047377"
434,Potosí (Ronda Litoral a Ferran Junoy),"2.196971310965017,41.44270288949692,2.198846948484936,41.44282389526175,2.199168559466922,41.44277577369535,2.205856921436766,41.44352943955152"
435,Potosí (Ferran Junoy a Ronda Litoral),"2.196880093849676,41.44246038915652,2.198646742776844,41.44258790427426,2.199183425898008,41.44271221456924,2.205899844419355,41.44345756398256"
436,Potosí (Ferran Junoy a Coronel Monasterio),"2.196927419939183,41.44272056478831,2.193037790575008,41.44239494266648"
437,Potosí (Torras i Bages a Ferran Junoy),"2.190891283409975,41.44213676122258,2.191839754145966,41.44220485783256,2.193533959001832,41.44223072634238,2.195529475662026,41.44241281728274,2.196874060294081,41.44248035454871"
438,Coll i Alentorn (Ronda de Dalt a Pl. de la Clota),"2.149790043766557,41.42580938700818,2.148298031733495,41.42480353227683,2.146760983661875,41.4241588751822,2.144896710389459,41.42443534393626,2.143596693015708,41.42433654114653,2.142680884478523,41.42465027531526"
439,Granja Vella (Pl. de la Clota a Ronda de Dalt),"2.150032499611319,41.42645511407779,2.148742445227141,41.42692768831935,2.146782857121439,41.42671727587852,2.145799768116057,41.42681839231385,2.145394498873512,41.42726607282513,2.144224830219579,41.42731656641618,2.143896241138974,41.42740661734715"
440,P. Fabra i Puig (P. Urrutia a Tajo),"2.164175812969811,41.4363308060638,2.163126814069947,41.43305915496339,2.163124048983307,41.43249385232977,2.163366653844947,41.43183510852703,2.163925429745017,41.43126676467632"
441,P. Fabra i Puig (Tajo a P. Urrutia),"2.163985819420398,41.43132093532667,2.16344360068077,41.43185273222694,2.163211035116284,41.4325169534072,2.163191793371726,41.4330420014518,2.164273222822315,41.43630231227588"
442,Vergós (Via Augusta a Pl. Artós),"2.128019120525555,41.39776416759163,2.12646283929399,41.39671193413474,2.125944347970135,41.39630703110804,2.125529824056101,41.39576906791247"
443,Vergós (Pl. Artós a Via Augusta),"2.125665590127965,41.39579518405888,2.126143452833851,41.39639134561222,2.127697269669029,41.39741560474232,2.128261741336897,41.39776428334326"
444,P. Sant Joan Bosco (Pl. Prat de la Riba a Pl. Artós),"2.125546928244286,41.39573974677308,2.12588369726046,41.39564510349439,2.129841616955006,41.39267726982981"
445,P. Sant Joan Bosco (Pl. Prat de la Riba a Pl. Artós),"2.129939242122376,41.39270297602814,2.125853121540184,41.39576113482539,2.125648229139598,41.39582433375508"
446,Numància (Pl. Prat de la Riba a Diagonal),"2.129814058661099,41.39246428726707,2.132592770514812,41.38970546161952"
447,Numància (Diagonal a Pl. Prat de la Riba),"2.132990517543165,41.38979642112953,2.130156053803585,41.39263139742342"
448,P. Sant Antoni (Pl. Països Catalans a Pl. Sants),"2.142270175053054,41.38064508712833,2.140352041860234,41.38029076471543,2.138714455498041,41.37931834723214,2.138470113340654,41.37833020509771,2.138060268244573,41.37764137366168,2.135219789117504,41.37548032187151"
449,P. Sant Antoni (Pl. Sants a Pl. Països Catalans),"2.135363527543845,41.37541872200755,2.138246317199275,41.37762639840057,2.138620754716907,41.37834956725673,2.138785480783834,41.37926216799524,2.140437455542821,41.38022219033348,2.142338871370688,41.38055391159571"
450,Mallorca (Urgell a Entença),"2.152845465021243,41.38649315565017,2.147167983541354,41.38232098573008"
451,Urgell (Pl. Francesc Macià a París),"2.144607694791745,41.39272776503912,2.148264953870867,41.3899638110812"
452,Esteve Terradas (Pl. Alfonso Comín a Av. Hospital Militar),"2.13804763012734,41.41533094497673,2.138727034832095,41.41539508359321,2.139266040568379,41.41545746418559,2.139746231652955,41.41518151293121,2.140619843575238,41.41365889404829,2.141883641232423,41.413008274068,2.14295214687245,41.41267565425057"
453,Esteve Terradas (Av. Hospital Militar a Pl. Alfonso Comín),"2.143142345068023,41.41248301442985,2.142450801873055,41.41268316991243,2.141487180440367,41.41306067162445,2.140502336594352,41.41358268765505,2.139627772339277,41.41510144620538,2.139217519709988,41.41533580308681,2.138634494139506,41.41523063007286,2.138299858914237,41.414885773791"
454,P. Mare de Déu del Coll (Av. Rep. Argentina a Santuari),"2.143292261623193,41.41152088339301,2.144260285203528,41.41297786938487,2.14480684702361,41.41336624765885,2.144742917729172,41.41443242137815,2.145007068525409,41.41477867836992,2.14688108444959,41.41575354537736,2.14722935753682,41.41700062845076,2.147551538414576,41.41738552375725,2.147904888900907,41.41822794877619,2.148340858639477,41.4187509545431,2.149259278403877,41.42039486564639"
455,P. Mare de Déu del Coll (Santuari a Av. Rep. Argentina),"2.14919423245397,41.42041278655719,2.148326193150874,41.418832650886,2.147840609607599,41.4182477165953,2.147424762540038,41.4172977597617,2.147171538390049,41.41703211753296,2.14678845671177,41.41575980121351,2.144947493343081,41.41478786028591,2.144673809818898,41.41442186480028,2.144742521902701,41.41342610952959,2.144184786755854,41.41300196207862,2.143163382664108,41.41152515213128"
456,Santuari (P. Mare de Déu del Coll a Gran Vista),"2.149270709978044,41.42036835341358,2.151650361724757,41.42014836350856,2.151992572591222,41.42031410036474,2.152639634132649,41.42099202695863,2.153144857887541,41.42111617263256,2.153763919474154,41.42101485454511,2.154963582809646,41.41994236972437,2.155245533452279,41.41970693981035,2.155513614371243,41.41966535475053,2.156004997003587,41.41975404042555,2.15638819520106,41.41967756977231,2.156579587904586,41.4195259675179,2.157189806867466,41.41864061931177"
457,Santuari (Gran Vista a P. Mare de Déu del Coll),"2.157331189099387,41.41869523388964,2.156658530171469,41.4195898080171,2.156436228618743,41.41973374236638,2.155982262739256,41.41982068628118,2.155546344361101,41.41975193951651,2.155267926534488,41.41976793112536,2.15497300112899,41.42003119294731,2.154176245326795,41.42074910869163,2.153764433406051,41.42108066751572,2.153174821027151,41.42118709583098,2.15263197618885,41.42107861385039,2.151961430950995,41.42036789857367,2.151768912111185,41.42026392573627,2.151642855941722,41.42019439201048,2.15005585663919,41.42036105058084,2.149313916200004,41.42042848748687"
458,Ctra. del Carmel - Ramiro de Maeztu (Gran Vista a Pl. Sanllehy),"2.157197543794595,41.41863580648911,2.157428425141063,41.41805876907107,2.158670630404913,41.41692944549884,2.159077353987229,41.41671512287291,2.159121325225186,41.41660795954397,2.158978425640044,41.41654201098092,2.158802545600224,41.41664917262479,2.158703610754557,41.4167975519986,2.158626661819994,41.41687998464405,2.157417445867324,41.41778673576771,2.157098653049133,41.41784443256083,2.156351162280032,41.41750643101474,2.156296210772467,41.41730858645499,2.156494110145687,41.4168057429503,2.156153369019037,41.41622868858177,2.156098409768177,41.4161544950768,2.15599948212477,41.41603908216735,2.155230008876742,41.41574227906809,2.155087115222798,41.41553618234752,2.155087128865773,41.4153053619648,2.155427915309176,41.41507456017991,2.155823648990207,41.41508282447045,2.156714017412639,41.41566815383003,2.157153704871689,41.41594844671896,2.157472483224112,41.41601440369595,2.157780273173302,41.41593197756322,2.158033107187862,41.41556927249139,2.158461816829373,41.41500872608089,2.158857539279936,41.41468723660199,2.159923773450018,41.413970057391,2.160308493134579,41.41384640375055,2.160528332831262,41.4138464034322,2.160869085337879,41.4139865435321"
459,Ramiro de Maeztu - Ctra. del Carmel (Pl. Sanllehy a Gran Vista),"2.160847102150413,41.41411019788329,2.160484365297521,41.41396181447327,2.160066669454963,41.41402776330114,2.159615996086217,41.41427506863908,2.15876959954808,41.41488507946225,2.15823097048424,41.41547859906015,2.157901187774201,41.41598144107016,2.157637350346235,41.41655847350752,2.157406505834885,41.41660792811604,2.157131696652172,41.41650899951046,2.156681037462604,41.41572585697832,2.155856622435465,41.4151735054232,2.155504860914093,41.41513226950438,2.155230034058903,41.41531361355266,2.155186051682478,41.41551145704133,2.155306961273553,41.41569282177136,2.155955517333695,41.41593191484733,2.156241317243968,41.41609679650035,2.156340237471198,41.41635234779964,2.156582055180522,41.41673979837535,2.156593038011181,41.41692115433234,2.15642812438287,41.41730859069293,2.156417122388021,41.41745697236575,2.156560022334077,41.41756414144875,2.157076671092568,41.41777848457515,2.15732950566337,41.41775376016101,2.158538722486597,41.41687173997422,2.158758577603649,41.41657498165471,2.158923465041241,41.4164760633125,2.159110334302511,41.41651728234934,2.159220256218703,41.41662444726536,2.159220255015285,41.41670688093355,2.159066359908792,41.4168140431611,2.158813531220091,41.41697066423141,2.158747576562732,41.41697066338909,2.157538352438849,41.41806701468939,2.157329456456111,41.41867702642094"
460,Camèlies (Escorial a Pl. de la Font Castellana),"2.158209563380197,41.41067593454893,2.159306708033213,41.41110906802484,2.160519321595828,41.41183451255311,2.162078414368409,41.41263573220304,2.163507603066861,41.4134910643081,2.166438289982267,41.41493103280851"
461,Av. Mare Déu Montserrat (Pl. de la Font Castellana a Pl. Sanllehy),"2.166374624706066,41.41500358116451,2.164250784806583,41.41466052530007,2.162889368414298,41.41434195101877,2.162116093507549,41.41399887320301,2.161233908774037,41.41359860535479"
462,Av. Mare Déu Montserrat (Pl. de la Font Castellana a Amílcar),"2.166577863010064,41.41503030084718,2.168115637617676,41.41568253113736,2.169428171242323,41.41554045030593,2.171180736797342,41.41717726271945,2.173160259235749,41.42013178445071"
463,Av. Mare Déu Montserrat (Amílcar a Pl. de la Font Castellana),"2.173010637909329,41.42016635875746,2.171064026429392,41.41723228271158,2.169396686647651,41.4156362921524,2.168081651630232,41.41576952096035,2.16635494753676,41.41516344377197"
464,Av. Mare Déu Montserrat (Amílcar a Sagnier),"2.173015464689196,41.42017168108172,2.175951050812643,41.42436011668038"
465,Av. Mare Déu Montserrat (P. Maragall a Amílcar),"2.17654208691151,41.42499904812088,2.173133682898609,41.42019212242838"
466,Escorial (Pl. Joanic a Camèlies),"2.16311468947372,41.40532750037832,2.158197340478747,41.41060449753257"
467,Travessera de Gràcia (Via Augusta a Gran de Gràcia),"2.153145473217408,41.39843233180449,2.155432967073243,41.39980646370101"
468,vessera de Gràcia (Gran de Gràcia a Escorial),"2.155401256537626,41.39984039961278,2.158064786120737,41.40146641705852,2.16122491666684,41.40344571807908,2.163466215098189,41.40490348648621"
469,Indústria (P. Sant Joan a Padilla),"2.16545376978744,41.40276775743242,2.169834848984285,41.40612144106904,2.17315780268059,41.40865090747058"
470,Indústria (Padilla a P. Maragall),"2.173283224393245,41.40874727113033,2.180725501371732,41.41441826990556"
471,Navas de Tolosa (Pg. Maragall a Meridiana),"2.180804186592291,41.41966454320876,2.181058638073856,41.4196379694113,2.186802250503281,41.41539220577738"
472,Navas de Tolosa (Meridiana a Aragó),"2.186976917807342,41.41519075081468,2.191224753189864,41.41196111001128"
473,Bilbao (Aragó a Gran Via),"2.191354557516692,41.41194099650067,2.194835754743476,41.40930325761507"
474,Trafalgar (Pl. Urquinaona a P. Lluís Companys),"2.17350465910777,41.38894858305788,2.175797482251316,41.38889959848255,2.177409291384358,41.39008810896961,2.17986754054297,41.39098080956097"
475,Sardenya (Gran Via a Meridiana),"2.180235739275833,41.39823602797226,2.186831970496028,41.39308943901517"
476,Sardenya - Trias Fargas (Meridiana a Dr. Aiguader),"2.186865797793292,41.39306552906766,2.194296431681546,41.38749228432119"
477,Dr. Aiguader (Pl. Antonio López a Pl. Voluntaris),"2.196284820360954,41.38738569725405,2.193874094305754,41.38564786022062,2.193172219955135,41.38530214141635,2.192433623240826,41.38463404058133,2.191950050478013,41.38414673385574,2.191404567364395,41.38393498358616,2.190625800327517,41.38381197586959,2.190223962988314,41.38374575380293,2.189733452870171,41.38357362846409,2.186311225687934,41.38203879625817,2.185681941725035,41.38169602231018,2.185162252785633,41.38154677891402,2.184272407084729,41.3811765064713,2.183480973864149,41.38094958284478,2.182937871694093,41.38086930218349,2.18238279275436,41.38123293314957"
478,Dr. Aiguader (Pl. Voluntaris a Pl. Antonio López),"2.195794779631699,41.38786551898253,2.192638241948284,41.38555373091958,2.192117510752101,41.38527510703279,2.191358824736029,41.38484860566389,2.190007487165826,41.38416702232784,2.187000034644127,41.3827800066843,2.185750565591464,41.38219047382884,2.18517092782432,41.38201049179186,2.18462871888899,41.38159447566407,2.184448988551437,41.38147103057577,2.183942562875163,41.38127506937473,2.183339271873308,41.38114180037541,2.182701344570546,41.38113809523532,2.182403226936707,41.38126845071424"
479,Av. del Litoral (Pl. Voluntaris a Llacuna),"2.196309187682615,41.38738320091294,2.196641040509912,41.38763983134703,2.196886585417619,41.38785465707379,2.197422495356285,41.38825146822428,2.197953222921321,41.3884892346616,2.198515536151999,41.38861677444857,2.199123632818241,41.38895470914168,2.199658884365565,41.38941617386371,2.199986203387132,41.3899926278191,2.200437239970015,41.3903935059125,2.201042534602451,41.39085257594404,2.201697403882255,41.3912691971785,2.202735946828756,41.39157264771764,2.203582026742925,41.39199271685433,2.204236109221025,41.39245120940701,2.204631777170909,41.39293611989815,2.204946808766679,41.3936030264728,2.205407566669371,41.39409344397723,2.205746317176835,41.39449430301046,2.206164358812983,41.39489663507385,2.206597569508599,41.39519441813042"
480,Salvador Espriu (Llacuna a Pl. dels Voluntaris),"2.206110221594775,41.39557698361837,2.195983896083538,41.38804593177096"
481,Pallars (Pere IV a Bac de Roda),"2.194484346257909,41.39874607254452,2.205078790383482,41.40663189826179"
482,Pallars (Bac de Roda a Josep Pla),"2.205093169068334,41.40667852400595,2.211905298037593,41.41180230864284"
483,Onze de Setembre - Fabra i Puig (Josep Soldevila a Meridiana),"2.196033981203009,41.4300124680609,2.192794273057617,41.43015508587055,2.184554855429002,41.43027629192884,2.184461125473065,41.43021813102304,2.182905770665777,41.43024569214941"
484,P. Enric Sanchís (Sant Adrià a Santander),"2.204514404531622,41.43612717675872,2.205942581289307,41.43407610209146,2.206141755398743,41.43291642494661,2.206326738129256,41.4327993829575"
485,P. Santa Coloma (Meridiana a Coronel Monasterio),"2.186848392750576,41.44407177735405,2.192716370606632,41.44602890625952"
486,P. Santa Coloma (Coronel Monasterio a Ronda Litoral),"2.192790797580827,41.44611111754438,2.200533859560082,41.44883068968345"
487,P. Santa Coloma (Ronda Litoral a Coronel Monasterio),"2.201080482164656,41.44890508658017,2.200562779843892,41.44874194732879,2.192799957161739,41.44599443343147"
488,Felip II (Costa i Cuxart a Concepción Arenal),"2.176545577020748,41.42827693643794,2.183884818323663,41.42264580519467"
489,P. Picasso (P. Pujades a Av. Marquès de l'Argentera),"2.182581686521971,41.38819458974687,2.185935011975388,41.38567867696035"
490,P. Picasso (Av. Marquès de l'Argentera a P. Pujades),"2.185826199802122,41.38556735695139,2.182462982792771,41.38812779439563"
491,Av. Rep. Argentina (Simón Bolívar a Craywinckel),"2.145646691633488,41.41082538241401,2.144896611497217,41.41133055804415,2.140793956787377,41.41177832845953,2.139906012283618,41.41242125418103"
492,P. Verdum (Pl. Madres Mayo a Pl. Llucmajor),"2.172092057409976,41.43534238183812,2.172829216462135,41.43633745461369,2.174478233114483,41.43818571143781"
493,P. Verdum (Pl. Llucmajor a Pl. Madres Mayo),"2.174371062989509,41.4382424050507,2.172798828240956,41.43644352168065,2.172036569237419,41.43535787429396"
494,Bac de Roda (Guipúscoa a Gran Via),"2.19352239504496,41.41370878878841,2.197099393732529,41.41104350568647"
501,Ronda de Dalt (Via Júlia a Nus de la Trinitat),"2.179328917681198,41.44586936429501,2.182378598451076,41.44634564810981,2.187091869274427,41.44676082685486,2.19265601600577,41.44689528355411,2.194499690369067,41.44766066359586,2.196555578147605,41.44984441615763"
502,Ronda de Dalt (Nus de la Trinitat a Via Júlia),"2.196532557799757,41.45007223054589,2.194170346166617,41.44790581250533,2.192590041795515,41.447123547893,2.186966389361187,41.44709948236687,2.179271789282027,41.44618465536417"
503,Ronda de Dalt (Pl. Karl Marx a Via Júlia),"2.162388390622079,41.44001681940336,2.163753765963328,41.44038981071905,2.174527940229607,41.44441800232388,2.176990874293903,41.44534227129565,2.179259273716063,41.44585686848321"
504,Ronda de Dalt (Via Júlia a Pl. Karl Marx),"2.17915567913475,41.44620207643784,2.17669312884011,41.44558050600412,2.163286960210196,41.44061883397857,2.162085719381168,41.44031953632241"
505,Ronda de Dalt (Av. Estatut de Catalunya a Pl. Karl Marx),"2.152205808556786,41.43777292822851,2.156488946588773,41.43901622050223,2.162379125526168,41.44001276764648"
506,Ronda de Dalt (Pl. Karl Marx a Av. Estatut de Catalunya),"2.162059730175401,41.44033478153586,2.156397362449041,41.43933845487198,2.152096233170482,41.4380966977686"
507,Ronda de Dalt (Av. Jordà a Av. Estatut de Catalunya),"2.142456898615446,41.42469480231056,2.146476690802781,41.43339774969488,2.147359270961318,41.43486721983694,2.14847103244765,41.4358331965411,2.149548196486675,41.43658651229875,2.150843271032159,41.43717707224892,2.152200299477054,41.43774603769073"
508,Ronda de Dalt (Av. Estatut de Catalunya a Av. Jordà),"2.152040237159594,41.43805694934742,2.149367230901398,41.43688121659159,2.14704260598132,41.43511059315466,2.146515284500479,41.43437033137737,2.142077800637237,41.42486951732698"
509,Ronda de Dalt (Pl. d'Alfons Comín a Av. Jordà),"2.136310289517265,41.41514385933984,2.137585038798897,41.41578001621912,2.138433745646717,41.41649018423651,2.138936364450654,41.41737561531006,2.140316196882188,41.4204576314018,2.142462639522296,41.42470220306348"
510,Ronda de Dalt (Pl. d'Alfons Comín a Av. Jordà),"2.14208683741844,41.42478486634349,2.138598258442783,41.41751917800882,2.138030400794959,41.41654512544981,2.137423925919799,41.41605695976401,2.136192772524788,41.41537640165964"
511,Ronda de Dalt (Bellesguard a Pl. Alfons Comín),"2.125746179354418,41.41028810997592,2.127466614410756,41.41113345377373,2.130214502149868,41.41313506304389,2.130953608795974,41.41377165506266,2.131836513558314,41.414120809406,2.133967069073446,41.41447506390529,2.136283613413939,41.41512703168513"
512,Ronda de Dalt (Av. Jordà a Pl. d'Alfons Comín),"2.136125350308178,41.4153234093988,2.13370464384302,41.41467543948925,2.131692688066018,41.41427615534715,2.130796102719672,41.41389983379493,2.130068131059399,41.41338156041879,2.127415595998721,41.4114008430896,2.125698883873766,41.41047967023478"
513,Ronda de Dalt (Foix a Bellesguard),"2.114224020087241,41.40123340142917,2.118191291766314,41.4047257146539,2.120318050162566,41.4058495482243,2.122563099774861,41.40734421192661,2.124076021206636,41.4089343927083,2.125738664129735,41.41022687125402"
514,Ronda de Dalt (Nus de la Trinitat a Via Júlia),"2.125671759258412,41.41046734215062,2.123812107310659,41.40916504923533,2.122297100295638,41.40757335881041,2.11994881735154,41.40599462455486,2.117802053170879,41.40482223157103,2.114108137778832,41.40138809171486"
515,Ronda de Dalt (Carretera d'Esplugues a Foix),"2.106919626100938,41.38825433337026,2.109887439431089,41.39387236329917,2.111000502804759,41.39552519618795,2.11218254204097,41.39671461528053,2.113157452774752,41.39838739173955,2.113637766064993,41.39954283359541,2.113657409037961,41.40000489482253,2.114098335060815,41.40111701043746"
516,Ronda de Dalt (Foix a Carretera d'Esplugues),"2.113978756074981,41.40133002089488,2.11342046996412,41.40030510079899,2.113191893485176,41.39920082822966,2.112917428585328,41.39825739952993,2.11194715442713,41.39664428247284,2.110883352813691,41.3955956005918,2.109682337929766,41.39392508450045,2.106675048671709,41.38820342502594"
517,Ronda de Dalt (Diagonal a Carretera d'Esplugues),"2.101630204694485,41.38174680807991,2.107042132298844,41.38788989214964"
518,Ronda de Dalt (Carretera d'Esplugues a Diagonal),"2.106650473787421,41.38811341819345,2.101071707452571,41.38164264738288"
519,Ronda del Litoral (Passeig de la Zona Franca a Miramar),"2.156677365353923,41.35242049086897,2.157800889617327,41.35303102417524,2.1585035714852,41.35347165655336,2.159192923310043,41.35406946748021,2.159898227222477,41.354858929021,2.161550221215978,41.35638855208877,2.162380229316967,41.35716712266349,2.163904975500059,41.35831149282922,2.165445670666966,41.35938602298363,2.166954171856108,41.36043585857991,2.169357752961356,41.36219345480208,2.169594736704226,41.36251247532007,2.171655845556877,41.36544031172981,2.172304149568112,41.36668176594917,2.173681403204528,41.36840000727969,2.173812112472477,41.36872727139632,2.173938798983939,41.36908161833174,2.174229237417902,41.36983327866201,2.174451497555516,41.3702018753937,2.178346502837363,41.37492339522508,2.178503867873904,41.37519528014072,2.17848350690881,41.37605332669944,2.182279899878781,41.38050991323227,2.183373249857374,41.38094067489242"
520,Ronda del Litoral (Miramar a Passeig de la Zona Franca),"2.183256229605646,41.38108773603663,2.18213088326823,41.38064162366491,2.178175660767692,41.37614768123685,2.178233561435592,41.37562173922084,2.17815020283481,41.37523445563828,2.174281334467456,41.37058783679309,2.173602014476037,41.36913337616807,2.173490201066346,41.3686373345488,2.172009543191478,41.36675376329738,2.171326122492925,41.36538623236673,2.169095698758659,41.36232172808061,2.168746209338535,41.36203508209294,2.168656642271851,41.36193359467405,2.165517324954709,41.35977110716578,2.162981753046713,41.35792101097547,2.16030371911456,41.35560240040896,2.158723548626662,41.35417128222598,2.157532363399426,41.35333099276587,2.156494696227218,41.35271325762152"
