,Commerce,Catering,Health,Recreational Activities,Transport,Hotel,Real State
411,9566,23836,9254,1090,18777,2520,0
412,9566,23850,9261,1090,18890,2524,0
413,9566,23864,9270,1090,19039,2529,0
414,9566,23885,9274,1090,19190,2534,0
415,9566,23918,9285,1090,19372,2539,0
416,9566,23942,9302,1090,19542,2544,0
417,9566,23989,9318,1090,19709,2550,0
418,9566,24045,9348,1090,19905,2556,0
419,9566,24103,9383,1090,20080,2562,0
420,9566,24162,9419,1092,20272,2568,0
421,9567,24217,9454,1096,20468,2574,0
422,9572,24269,9483,1104,20664,2580,0
423,9580,24320,9512,1114,20867,2586,0
424,9591,24398,9537,1131,21072,2592,0
425,9604,24462,9579,1149,21279,2600,0
426,9618,24532,9618,1168,21516,2608,0
427,9633,24595,9654,1187,21757,2616,0
428,9652,24676,9686,1208,21989,2623,0
429,9671,24741,9722,1228,22221,2632,0
430,9690,24833,9756,1246,22450,2640,0
431,9703,24899,9804,1268,22674,2648,0
432,9724,24968,9832,1286,22879,2656,0
433,9736,25048,9868,1308,23109,2664,0
434,9755,25110,9907,1328,23336,2672,0
435,9771,25187,9941,1348,23548,2680,0
436,9792,25268,9984,1368,23763,2688,0
437,9810,25372,10030,1388,23965,2696,0
438,9825,25444,10096,1408,24164,2704,0
439,9844,25554,10136,1428,24348,2712,0
440,9858,25660,10184,1448,24538,2720,0
441,9873,25750,10244,1468,24727,2727,0
442,9889,25839,10294,1488,24906,2734,0
443,9908,25915,10343,1506,25085,2740,0
444,9927,26002,10383,1528,25239,2746,0
445,9947,26194,10432,1546,25429,2759,0
446,9961,26273,10535,1564,25625,2764,0
447,9977,26345,10575,1582,25850,2771,0
448,9993,26422,10615,1600,26100,2778,0
449,10006,26614,10670,1614,26391,2786,0
450,10020,26688,10766,1628,26664,2792,0
451,10033,26742,10805,1642,26927,2796,0
452,10045,26793,10844,1656,27174,2802,0
453,10057,26962,10893,1667,27451,2810,0
454,10072,27017,10981,1678,27683,2816,0
