,Food,Health,Amusement,Basic Goods,Funds
340,-12.3934,28.566,-70.5222,-364.1118,364.4924
341,-13.886,28.46,-71.246,-366.0392,363.3082
342,-15.37,28.762,-71.976,-367.9416,362.0628
343,-16.863,28.954,-72.7176,-369.8484,360.8108
344,-18.3678,29.13,-73.451,-371.7656,359.6988
345,-19.8644,29.15,-74.1976,-373.671,358.4864
346,-21.3752,28.788,-74.9346,-375.5534,357.2968
347,-22.8704,28.84,-75.679,-377.4564,355.969
348,-24.4044,28.558,-76.4158,-379.3724,354.7758
349,-25.8978,28.314,-77.0718,-381.4274,353.925
350,-27.4494,27.902,-77.7448,-383.5172,353.2136
351,-28.9352,27.588,-78.4162,-385.575,352.4544
352,-30.4364,27.396,-79.081,-387.6346,351.7974
353,-31.927,27.362,-79.6888,-389.8602,351.1988
354,-33.4034,26.84,-80.3004,-392.0842,350.7422
355,-34.8816,26.436,-80.8934,-394.2864,350.4036
356,-36.3898,26.006,-81.5078,-396.5086,349.963
357,-37.8742,25.442,-82.0564,-398.8908,349.6616
358,-39.3716,24.752,-82.6144,-401.2212,349.4414
359,-40.8766,24.064,-83.158,-403.5484,349.2208
360,-42.3944,23.28,-83.7144,-405.8904,349.031
361,-43.8976,22.476,-84.2152,-408.4084,348.978
362,-45.3792,21.456,-84.7144,-410.8948,348.978
363,-46.8652,20.516,-85.2076,-413.4376,348.978
364,-48.366,19.494,-85.709,-415.9382,348.978
365,-49.8436,18.502,-86.1994,-418.4076,348.978
366,-51.3216,17.502,-86.705,-420.9142,348.978
367,-52.8052,16.576,-87.2112,-423.4,348.978
368,-54.2894,15.546,-87.7182,-425.887,348.978
369,-55.7982,14.484,-88.206,-428.3824,348.978
370,-57.2978,13.484,-88.6978,-430.8794,348.978
371,-58.779,12.498,-89.2016,-433.3796,348.978
372,-60.2538,11.44,-89.7136,-435.8844,348.978
373,-61.7466,10.444,-90.21,-438.3902,348.978
374,-63.252,9.364,-90.7086,-440.9406,348.978
375,-64.7546,8.368,-91.2002,-443.4818,348.978
376,-66.2456,7.372,-91.7114,-445.9532,348.978
377,-67.724,6.338,-92.215,-448.4202,348.978
378,-69.2412,5.308,-92.7186,-450.943,348.978
379,-70.7608,4.278,-93.2146,-453.4534,348.978
380,-72.2618,3.294,-93.726,-455.9598,348.978
381,-73.7888,2.214,-94.2192,-458.4632,348.978
382,-75.2944,1.184,-94.7296,-461.0034,348.978
383,-76.8036,0.148,-95.2188,-463.541,348.978
384,-78.3008,-0.882,-95.712,-466.0392,348.978
385,-79.7932,0.04,-96.1992,-468.5022,407.1292
386,-81.2894,1.426,-96.698,-470.983,465.007
387,-82.8218,2.588,-97.193,-473.5088,522.8522
388,-84.311,3.91,-97.6914,-476.034,580.6774
389,-85.796,4.972,-98.198,-478.583,638.5622
390,-87.2726,5.694,-98.7056,-481.0836,696.4378
391,-88.7634,6.362,-99.2028,-483.554,754.3772
392,-90.2862,7.044,-99.6994,-486.013,812.2212
393,-91.7502,7.808,-100.2002,-488.4686,870.0934
394,-93.256,8.644,-100.6938,-490.9798,927.8686
395,-94.7484,9.324,-101.187,-493.493,985.7344
396,-96.2448,10.29,-101.6792,-495.9456,1043.5918
397,-97.7276,11.112,-102.173,-498.4708,1101.4532
398,-99.255,11.684,-102.6838,-500.9744,1159.3118
399,-100.7368,12.142,-103.1816,-503.407,1217.1698
400,-102.2162,12.558,-103.6864,-505.8896,1275.1282
401,-103.6326,13.368,-104.185,-508.349,1332.7936
402,-105.163,13.666,-104.6908,-510.8418,1390.6928
403,-106.5824,14.108,-105.1992,-513.369,1448.5662
404,-108.0238,14.472,-105.6912,-515.9276,1506.4578
405,-109.3648,14.874,-106.1932,-518.4656,1564.1406
406,-110.641,15.122,-106.6844,-520.9474,1622.0086
407,-111.9864,15.396,-107.1892,-523.386,1679.9244
408,-113.3186,15.896,-107.6984,-525.8762,1737.717
409,-114.4458,16.29,-108.1824,-528.3754,1795.3724
410,-115.4856,16.694,-108.6796,-530.8782,1853.1248
411,-116.413,16.742,-109.1782,-533.3502,1910.8592
412,-117.0766,17.34,-109.6814,-535.8538,1968.4412
413,-117.476,17.48,-110.1752,-538.2202,2025.9698
414,-117.716,18.424,-110.6906,-540.5854,2082.981
415,-117.8654,19.134,-111.1972,-542.9176,2139.9738
416,-117.8566,19.766,-111.6822,-545.2478,2197.0694
417,-118.0802,20.638,-112.2436,-547.3506,2253.9224
418,-118.1352,21.514,-112.8134,-549.5362,2310.756
419,-118.327,22.08,-113.3724,-551.6878,2367.384
420,-118.1864,22.858,-113.869,-553.8864,2423.9196
421,-117.9824,23.838,-114.3318,-555.7466,2480.4904
422,-117.2058,24.704,-114.7544,-557.2754,2536.8512
423,-116.404,25.692,-115.178,-558.8716,2592.8648
424,-115.347,26.46,-115.417,-560.2252,2648.9284
425,-114.1362,27.43,-115.6056,-560.7842,2704.7928
426,-112.763,28.442,-115.5966,-561.2648,2760.6304
427,-112.0534,29.382,-115.4704,-560.9794,2816.3352
428,-110.945,29.79,-115.4384,-560.239,2871.971
429,-110.0208,30.622,-115.1908,-560.1492,2927.8742
430,-108.8302,30.946,-115.2366,-558.824,2983.9138
431,-107.9406,31.208,-115.041,-558.5456,3039.7354
432,-106.9526,31.674,-114.9526,-557.6316,3095.7288
433,-105.6416,32.2,-114.9626,-556.3136,3151.7852
434,-103.8586,32.722,-114.8286,-556.0024,3207.6966
435,-101.0108,33.104,-114.7076,-554.8816,3263.2914
436,-98.855,33.866,-114.569,-554.5072,3318.7612
437,-95.519,34.57,-114.4456,-553.8948,3373.9546
438,-91.6134,35.49,-114.3018,-553.2286,3429.4546
439,-88.0542,36.206,-114.2136,-552.492,3485.0698
440,-83.2838,37.118,-114.0808,-552.0014,3540.5824
441,-80.5512,38.572,-113.9576,-551.1684,3596.2608
442,-76.4178,39.396,-113.8332,-550.1566,3652.1646
443,-72.762,40.024,-113.7556,-549.5196,3708.2406
444,-70.3454,40.604,-113.6452,-548.666,3764.495
445,-62.1792,41.698,-113.6336,-548.3526,3819.4302
446,-58.6882,44.016,-113.5522,-547.9176,3874.4366
447,-56.469,44.998,-113.3942,-547.7324,3929.8904
448,-53.6864,45.97,-113.2856,-547.0322,3985.4206
449,-46.4928,46.822,-113.1348,-546.6092,4039.6368
450,-44.1724,48.724,-112.9232,-546.4684,4094.3216
451,-42.1654,49.566,-112.7532,-546.576,4149.3922
452,-40.837,50.07,-112.5898,-546.2932,4204.759
453,-33.2246,50.438,-112.3504,-546.5378,4259.1294
454,-31.9216,53.128,-112.1556,-546.74,4314.2416
455,-30.048,53.512,-112.066,-547.259,4370.0614
456,-28.7646,53.812,-111.9684,-547.3172,4426.0668
457,-21.7528,54.27,-111.9144,-547.5078,4481.0448
458,-19.7748,55.454,-111.9192,-548.6692,4537.123
459,-17.723,56.064,-111.9446,-549.6756,4593.9336
460,-15.931,56.35,-112.0042,-550.7244,4650.4474
461,-14.6342,57.132,-111.894,-552.068,4706.9358
462,-13.3822,57.36,-111.9256,-553.1008,4763.5544
463,-11.7332,57.288,-111.9706,-554.0188,4820.267
464,-10.5094,57.948,-111.9496,-554.9534,4876.888
465,-9.8098,57.968,-111.8604,-555.889,4933.9174
466,-9.0712,57.748,-111.8064,-556.4672,4991.0148
467,-8.9258,57.426,-111.8144,-557.1536,5048.0808
468,-8.486,57.172,-111.8424,-557.7424,5105.0846
469,-8.299,56.738,-111.867,-558.6534,5162.3276
470,-8.053,56.536,-111.8488,-559.6082,5219.6228
471,-7.544,56.502,-111.7674,-560.6274,5276.5904
472,-7.5446,56.246,-111.6986,-561.4406,5333.6376
473,-7.1448,56.016,-111.6294,-562.3924,5390.431
474,-6.924,55.758,-111.584,-563.3064,5447.6414
475,-6.456,55.682,-111.512,-564.2762,5504.675
