,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($),,,,,,
314,436533,836287,327648,40099,608531,118761,0,,,,,,
315,436533,836287,327648,40099,608531,118761,0,,,,,,
316,436533,836287,327648,40099,608531,118761,0,,,,,,
317,436533,836287,327708,40099,610142,118788,0,,,,,,
318,436533,836287,327708,40099,612224,118815,0,,,,,,
319,436533,836287,327708,40099,614394,118842,0,,,,,,
320,436533,836287,327708,40099,616485,118869,0,,,,,,
321,436533,836287,327708,40099,618880,118927,0,,,,,,
322,436533,836287,327708,40099,621894,118985,0,,,,,,
323,436533,836287,327708,40099,624954,119043,0,,,,,,
324,436533,836382,327708,40099,627947,119101,0,,,,,,
325,436533,836472,327738,40099,631264,119288,0,,,,,,
326,436533,836703,327738,40099,635716,119475,0,,,,,,
327,436533,836944,327852,40099,640593,119662,0,,,,,,
328,436533,837231,328071,40099,644820,119849,0,,,,,,
329,436533,837974,328249,40099,650002,120098,0,,,,,,
330,436533,838888,328502,40099,656654,120347,0,,,,,,
331,436533,839754,329023,40099,662337,120596,0,,,,,,
332,436533,840999,329715,40099,668771,120845,0,,,,,,
333,436533,842058,330421,40099,674143,121094,0,,,,,,
334,436533,843460,331225,40099,680525,121343,0,,,,,,
335,436533,845355,331830,40099,686458,121592,0,,,,,,
336,436533,847030,332938,40099,692017,121841,0,,,,,,
337,436586,848989,334060,40099,698164,122090,0,,,,,,
338,436586,851330,335394,40099,704223,122339,0,,,,,,
339,436586,853625,336706,40099,710160,122526,0,,,,,,
340,436621,855890,337922,40099,716432,122837,0,,,,,,
341,436621,858513,339249,40099,721455,123086,0,,,,,,
342,436621,861211,340451,40099,728221,123335,0,,,,,,
343,436621,864227,342293,40099,734529,123584,0,,,,,,
344,436621,867753,343751,40099,740820,123833,0,,,,,,
345,436621,871279,345339,40099,746688,124082,0,,,,,,
346,436621,874368,347169,40099,752510,124331,0,,,,,,
347,436621,878032,348762,40099,759138,124518,0,,,,,,
348,436621,880967,350941,40099,764849,124802,0,,,,,,
349,436621,885578,352760,40099,769684,125051,0,,,,,,
350,436621,889106,355229,40099,773536,125273,0,,,,,,
351,436621,892109,357252,40099,777461,125495,0,,,,,,
352,436621,895485,358686,40099,781148,125717,0,,,,,,
353,436621,899480,361145,40099,784424,125908,0,,,,,,
354,436621,902389,363545,40099,787968,126099,0,,,,,,
355,436621,905797,364548,40099,791347,126290,0,,,,,,
356,436621,909129,366399,40099,794606,126481,0,,,,,,
357,436621,913192,368325,40099,796448,126543,0,,,,,,
358,436621,915591,370636,40099,798152,126605,0,,,,,,
359,436621,917838,372067,40099,799768,126667,0,,,,,,
360,436621,919648,373455,40099,801343,126729,0,,,,,,
361,436621,921589,374421,40099,801525,126729,0,,,,,,
362,436621,922875,375552,40099,801619,126729,0,,,,,,
363,436621,923884,376673,40099,801619,126729,0,,,,,,
364,436621,925015,377608,40099,801619,126729,0,,,,,,
365,436621,925540,378737,40099,801619,126729,0,,,,,,
366,436621,926042,379468,40099,801619,126729,0,,,,,,
367,436621,926205,380215,40099,801619,126729,0,,,,,,
368,436621,926552,380807,40099,801619,126729,0,,,,,,
369,436621,926552,381243,40099,801619,126729,0,,,,,,
370,436621,926552,381896,40099,801619,126729,0,,,,,,
371,436621,926632,382566,40099,801619,126729,0,,,,,,
372,436621,926632,382979,40099,801619,126729,0,,,,,,
373,436621,926632,383353,40099,801619,126729,0,,,,,,
374,436621,926632,383938,40099,801619,126729,0,,,,,,
375,436621,926632,384622,40099,801619,126729,0,,,,,,
376,436621,926632,385181,40099,801619,126729,0,,,,,,
377,436621,926632,385862,40099,801619,126729,0,,,,,,
378,436621,926632,386626,40099,801619,126729,0,,,,,,
379,436621,926632,387540,40099,801619,126729,0,,,,,,
380,436621,926632,387956,40099,801619,126729,0,,,,,,
381,436621,926632,388394,40099,801619,126729,0,,,,,,
382,436621,926632,389524,40099,801619,126729,0,,,,,,
383,436621,926632,390101,40099,801619,126729,0,,,,,,
384,436621,926632,391007,40099,801619,126729,0,,,,,,
385,436621,929327,391800,40099,805290,126978,0,,,,,,
386,436621,933245,394179,40099,811789,127227,0,,,,,,
387,436621,937718,396696,40099,818257,127476,0,,,,,,
388,436621,941429,399745,40099,824279,127725,0,,,,,,
389,436621,946147,402487,40099,829750,127974,0,,,,,,
390,436621,950184,405251,40099,836278,128223,0,,,,,,
391,436621,955363,408409,40099,842047,128472,0,,,,,,
392,436621,959900,411315,40099,847935,128721,0,,,,,,
393,436621,964605,414891,40099,854155,128970,0,,,,,,
394,436621,968951,417127,40099,860283,129219,0,,,,,,
395,436621,973683,419380,40099,865939,129468,0,,,,,,
396,436621,978236,421539,40534,871878,129655,0,,,,,,
397,437016,982075,424497,40969,877931,129966,0,,,,,,
398,437326,986967,426893,41404,884388,130215,0,,,,,,
399,437766,993231,429343,41839,890627,130464,0,,,,,,
400,438194,997942,432675,42274,896125,130713,0,,,,,,
401,438670,1002572,435671,42709,901690,130962,0,,,,,,
402,439125,1007860,437937,43144,907896,131211,0,,,,,,
403,439681,1012846,440028,43579,914248,131460,0,,,,,,
404,440109,1018172,442703,44014,920132,131709,0,,,,,,
405,440372,1024018,445455,44449,925731,131958,0,,,,,,
406,440943,1029001,447715,44884,931492,132207,0,,,,,,
407,441444,1034003,449791,45319,938032,132456,0,,,,,,
408,442027,1038731,452551,45754,944229,132705,0,,,,,,
409,442461,1044159,454388,46189,950139,132892,0,,,,,,
410,442843,1048891,456890,46542,956223,133141,0,,,,,,
411,443380,1053910,459036,47059,962031,133328,0,,,,,,
412,443564,1058402,461792,47494,967845,133515,0,,,,,,
413,444017,1063359,463909,48050,973982,133729,0,,,,,,
414,444549,1068010,465927,48606,981351,133943,0,,,,,,
415,445116,1072664,467654,49162,989505,134157,0,,,,,,
416,445576,1077171,469654,49718,997428,134371,0,,,,,,
417,446044,1080707,471396,50331,1006031,134616,0,,,,,,
418,446852,1085504,473289,50944,1014814,134861,0,,,,,,
419,447431,1089508,476618,51557,1023014,135106,0,,,,,,
420,447875,1093198,478730,52170,1031480,135351,0,,,,,,
421,448630,1097178,480681,52888,1039488,135725,0,,,,,,
422,449047,1100639,482919,53606,1047912,136099,0,,,,,,
423,449727,1103580,485479,54324,1057384,136473,0,,,,,,
424,450364,1106589,487525,55042,1068526,136847,0,,,,,,
425,450821,1109019,489237,55912,1079763,137221,0,,,,,,
426,451628,1111328,491488,56782,1090462,137595,0,,,,,,
427,452509,1113613,493921,57652,1101539,137969,0,,,,,,
428,453528,1115678,496314,58459,1111610,138343,0,,,,,,
429,454522,1117419,497841,59372,1120571,138717,0,,,,,,
430,455440,1120256,499910,60262,1130445,139091,0,,,,,,
431,456377,1121401,502215,61132,1140087,139465,0,,,,,,
432,457231,1123056,503518,62002,1149588,139839,0,,,,,,
433,458067,1124309,505538,62872,1159891,140213,0,,,,,,
434,458828,1125873,506976,63742,1169384,140587,0,,,,,,
435,459826,1128136,509427,64612,1178978,140961,0,,,,,,
436,460956,1131098,511629,65400,1188391,141335,0,,,,,,
437,461885,1132925,514135,66352,1196856,141709,0,,,,,,
438,463031,1135638,516097,67140,1204973,142083,0,,,,,,
439,463958,1138836,518111,68092,1212529,142457,0,,,,,,
440,465092,1141678,520835,68962,1220041,142831,0,,,,,,
441,466258,1144514,523191,69832,1226879,143151,0,,,,,,
442,467206,1147967,525028,70702,1233590,143579,0,,,,,,
443,468744,1151397,527449,71572,1240399,143899,0,,,,,,
444,470058,1154669,529150,72442,1247112,144219,0,,,,,,
445,471174,1163513,531936,73191,1254127,144674,48,,,,,,
446,472123,1167406,535870,73940,1261645,145021,48,,,,,,
447,473168,1171570,537582,74689,1270572,145368,48,,,,,,
448,474331,1174694,539275,75438,1279749,145715,48,,,,,,
449,475432,1182128,542016,76130,1290901,146031,96,,,,,,
450,476616,1185951,545114,76822,1303941,146347,96,,,,,,
451,477397,1189500,547238,77494,1316884,146663,96,,,,,,
452,478642,1193380,549450,78206,1329555,146979,96,,,,,,
453,479599,1203611,552600,78793,1344388,147166,204,,,,,,
454,480284,1207123,556770,79380,1359794,147353,204,,,,,,
455,481024,1211048,558829,79967,1374618,147540,252,,,,,,
456,481901,1214405,560785,80554,1388456,147727,252,,,,,,
457,483382,1225268,563441,80989,1402985,147914,402,,,,,,
458,484332,1228593,568412,81424,1416543,148101,402,,,,,,
459,485207,1232971,570540,81859,1430588,148288,402,,,,,,
460,486084,1236477,572406,82294,1443116,148475,450,,,,,,
461,487076,1240102,574254,82729,1454330,148662,450,,,,,,
462,487907,1243594,576132,83164,1464010,148849,450,,,,,,
463,489060,1246676,577600,83599,1473226,149036,450,,,,,,
464,490117,1249816,579650,84034,1481700,149196,450,,,,,,
465,491044,1253150,581391,84469,1488177,149410,450,,,,,,
466,492033,1257036,583001,84904,1496115,149597,450,,,,,,
467,492859,1261168,584212,85334,1503585,149784,450,,,,,,
468,493740,1263769,585856,85774,1510620,149971,450,,,,,,
469,494947,1266734,587267,86209,1518129,150158,450,,,,,,
470,496428,1270057,588624,86644,1526065,150345,450,,,,,,
471,497491,1273824,589949,87079,1532567,150532,450,,,,,,
472,498643,1276554,591054,87514,1538935,150719,450,,,,,,
473,499700,1279289,592354,87949,1545312,150906,450,,,,,,
474,501019,1282400,594208,88384,1550799,151093,450,,,,,,
475,502185,1285032,596383,88808,1557111,151280,450,,,,,,
476,503232,1287670,598102,89254,1563266,151467,450,,,,,,
477,504224,1289395,599728,89689,1569445,151654,450,,,,,,
478,505191,1291998,601675,90124,1575028,151841,450,,,,,,
479,506104,1294252,604083,90559,1580172,152028,450,,,,,,
480,507579,1296147,605948,90994,1584812,152215,450,,,,,,
481,508831,1298500,608024,90994,1588252,152215,450,,,,,,
482,508831,1298950,608024,90994,1589705,152215,450,,,,,,
483,508831,1300937,608024,90994,1590543,152215,450,,,,,,
484,508831,1302365,608024,90994,1591321,152215,450,,,,,,
485,508831,1303845,608024,90994,1591619,152215,450,,,,,,
486,508831,1305607,608024,90994,1591843,152215,450,,,,,,
487,508831,1306920,608024,90994,1591965,152215,450,,,,,,
488,508831,1308515,608024,90994,1592141,152215,450,,,,,,
489,508831,1310271,608024,90994,1592233,152215,450,,,,,,
490,508831,1311950,608024,90994,1592233,152215,450,,,,,,
491,508831,1313733,608024,90994,1592233,152215,450,,,,,,
